institution_name,study_period_start_date,credential,program_length, total_estimated_cost ,student_status,Comments
Okanagan College,05-11-2021,Occupational Fist Aid III, 1 , $880.00 ,,
Emily Carr University of Art & Design,04-01-2022,Illustration Certificate, 1 ," $6,500.00 ",,
Vancouver Community College,01-01-2022,Esthetics,1," $12,648.00 ",,
BCIT,01-01-2022,Grant and Proposal Writing,1, $518.00 ,,
Vancouver Island University,06-09-2022,Heavy Duty Mechanic Certificate,1," $7,188.00 ",,
Capilano University,06-09-2022,Bachelor of Science,3," $20,000.00 ",, Eligible Winter '22 forward 
Camosun College,04-01-2022,Electrical Level 2,1," $1,500.00 ",,
Vancouver Community College,01-02-2022,Asian Culinary Certificate,1," $2,408.00 ",,
Camosun College,01-09-2022,"Community, Family & Child Studies Diploma",2," $7,100.00 ",, Preivously in upgrading 
Camosun College,10-01-2022,Associate of Arts,2," $15,500.00 ",,
Camosun College,10-01-2022,Carpentry Level 1,1, $875.00 ,,
Douglas College,04-01-2022,Computing Science Certificate,1," $3,814.00 ",,
Vancouver Community College,01-05-2021,Esthetics & Spa Training,1," $12,928.00 ",,
Vancouver Community College,07-09-2021,Esthetics & Spa Training,1," $12,468.00 ",,
University of British Columbia,07-09-2021,Bachelor of Education,1," $13,347.00 ",,
Vancouver Island University,06-09-2022,Heavy Mechanical Trades, 1 ," $7,060.00 ",, Eligible Winter '24 
Langara College,01-09-2020,Bachelor of Science ,5," $25,360.00 ",, effective Winter 2022 
North Island College,01-01-2022,Social Service Diploma,2," $5,000.00 ",,
BCIT,01-01-2022,Global Trade and Transportation Management,2," $13,374.00 ",,
Douglas College,07-09-2021,Associate of Science ,2," $12,808.00 ",,
Vancouver Community College,01-01-2022,Nail Tech,1," $5,950.00 ",,
Okanagan College,07-09-2021,Associate of Arts,2," $9,644.00 ",,
Kwantlen Polytechnic University,05-01-2022,Bachleor of Arts, 4 ," $33,348.00 ",, Eligible Spring 2022 
Douglas College,04-01-2022,General Studeis Diploma,2," $8,524.00 ",,
Douglas College,04-01-2022,General Business Diploma,2," $7,188.00 ",,
Douglas College,04-01-2022,Associate of Arts,2," $7,635.00 ",,
Camosun College,10-01-2022,Bachelor of Business Administration,2," $14,000.00 ",,
Vancouver Community College,10-01-2022,Hair Design,1," $8,500.00 ",,
Vancouver Island University,04-01-2022,Bachelor of Arts,4," $28,176.00 ",,
Langara College,06-01-2022,Associate of Arts,2," $12,017.00 ",,
Douglas College,04-01-2022,General Studies Diploma,2," $7,688.00 ",,
Vancouver Community College,01-05-2022,Auto Tech Services,1," $5,500.00 ",,
Thompson Rivers University,31-01-2022,Heavy Duty Mechanics,1," $4,941.00 ",,
Vancouver Community College,01-05-2022,Auto Service Technician Foundations,1," $5,500.00 ",,
Camosun College,2022-01-010,Arts and Science Diploma,2," $19,500.00 ",,
Douglas College,04-01-2022,General studies Diploma,2," $12,503.00 ",,
Nicola Valley Institute of Technology,04-09-2018,Plumbing/Piping,1," $4,579.93 ", Attending ,
Thompson Rivers University,04-01-2022,Diploma General Study,2," $10,000.00 ",,
College of the Rockies,,,,,,
Vancouver Community College,,,,,,
University of the Fraser Valley,16-09-2022,Veterinary Admin Certificate,1," $7,650.00 ",,Approved on Appeal
Okanagan College,07-09-2022,Bachelor of Science,2," $13,439.00 ",,
University of British Columbia,07-09-2022,Bachelor of Arts,4," $22,500.00 ",,
Douglas College,04-01-2022,General Studies Diploma,2," $12,305.00 ",,
Simon Fraser University,07-09-2022,BA Sociology,4," $27,904.00 ",,Transferred from Douglas
Vancouver Island University,06-09-2022,Bachelor of Social Work,4," $15,557.00 ",,
Vancouver Island University,13-05-2020,Bachelor of Science in Nursing,4," $33,655.00 ",,
Vancouver Island University,01-03-2021,Power Engineering,1," $12,222.00 ",,
Vancouver Island University,07-01-2021,Bachelor of Arts,4," $27,800.00 ",,
Okanagan College,07-09-2022,Associate of Arts,2," $9,644.00 ",,
Vancouver Island University,07-09-2021,Bachelor of Science in Nursing,4," $33,662.00 ",,
Vancouver Island University,06-09-2022,Bachelor of Science in Nursing,4," $34,195.00 ",,
University of the Fraser Valley,02-05-2022,BA,4," $22,430.00 ",,
Emily Carr University of Art & Design,06-09-2022,Bachelor of Fine Arts,4," $23,500.00 ",,
Vancouver Community College,01-09-2022,Administrative Professional,1," $5,996.00 ",,
Vancouver Island University,06-09-2022,Practical Nursing,2," $22,851.00 ",,No record of time in care
Vancouver Island University,02-09-2022,Dental Hygiene,2," $34,144.00 ",,
Okanagan College,06-09-2022,Welder Foundation Certificate,1," $4,360.00 ",,
Kwantlen Polytechnic University,06-09-2022,Bachelor of Arts/Crim,4," $33,348.00 ",,
Douglas College,01-05-2022,Arts-Associate Degree,2," $13,001.48 ",,
Selkirk College,07-09-2022,Welder Foundation Certificate,1," $3,681.00 ",,
University of the Fraser Valley,07-03-2022,Plumbing Pipe Certificate,0.5," $4,087.00 ",,
Vancouver Island University,06-09-2022,Bachelor of Science,4," $28,580.00 ",,
University of British Columbia,06-09-2022,Bachelor of Arts,4," $29,000.00 ",,Transfer
Vancouver Island University,06-09-2022,Bachelor of Science,4," $28,580.00 ",,Private School-Denied
Kwantlen Polytechnic University,06-09-2022,Bachelor of Arts,4," $33,348.00 ",,
Vancouver Island University,07-02-2022,Hairdressing Foundation Certificate,1," $8,700.00 ",, Time in care 668 days 
Vancouver Island University,01-01-2021,Child and Youth Care,4," $29,000.00 ",,
Kwantlen Polytechnic University,06-09-2022,Horticulture and Science Undeclared,4," $33,348.00 ",,
Vancouver Island University,26-01-2021,Culinary Arts Certificate Program,2," $7,777.00 ",,
Vancouver Island University,03-09-2019,Bachelor of Visual Arts,4," $18,536.48 ",, We have no record of PTWP approval for this student 
Kwantlen Polytechnic University,06-09-2022,Business,4," $33,348.00 ",,
Kwantlen Polytechnic University,06-09-2022,Farrier Science Certificate,0.75," $12,430.00 ",,
Camosun College,01-09-2022,Interprofessional Mental Halth & Addictions,2," $6,500.00 ",,
Capilano University,01-09-2022,Early Childhood Care Diploma,2," $12,675.00 ",,
North Island College,01-02-2022,Electrical Foundation,2," $5,500.00 ",,
Thompson Rivers University,01-09--2022,Bachelor of Science,4," $22,168.00 ",,
Capilano University,01-01--2022,Legal Assistant,1," $6,199.46 ",,
Thompson Rivers University,10-01-2022,Bachelor of Arts,4," $21,960.00 ",,
Vancouver Island University,06-09-2022,Bachelor of Science in Nursing,4," $34,732.00 ",,
Simon Fraser University,07-09-2022,Bachelor of Science (Biomedical Physiology),4," $28,338.00 ",,
Vancouver Island University,06-09-2022,Bachelor of Social Work,4," $31,096.00 ",,
Vancouver Island University,07-09-2021,Theatre Diploma,2," $11,960.00 ",,
Douglas College,06-09-2022,Youth Justice Diploma,2," $11,304.00 ",,
Vancouver Island University,01-09-2021,Bachelor of Science,4," $27,800.00 ",,
Kwantlen Polytechnic University,06-09-2022,Bachelor of Arts,4," $33,348.00 ",,
Kwantlen Polytechnic University,06-09-2022,Bachelor of Arts,4," $33,348.00 ",,
BCIT,01-04-20200,Piping Foundation,0.5," $4,534.00 ",,
Capilano University,04-01--2022,Bachelor of legal studies,4," $27,379.00 ",,
,,BA,," $28,140.00 ",, Concordia funding approved-Carla 
Vancouver Island University,08-09-2020,Bachelor of Arts,4," $28,120.00 ",,
Vancouver Island University,07-09-2020,Exploratory Studies,4," $28,120.00 ",,
Northern Lights College,06-09-2022,Cosmetology,1," $4,747.00 ",,
University of the Fraser Valley,02-05-2022,Bachelor of Arts,4," $22,430.00 ",,
Douglas College,16-05-2022,Criminology Diploma,0.25," $2,828.00 ",,
North Island College,01-01-2022,Early,2," $5,000.00 ",,
Justice Institute of British Columbia,28-03-2022,Primary Care Paramedic Program,0.75," $5,068.17 ",,
Capilano University,01-05-2022,Assoicate of Arts,2," $11,569.54 ",,
Okanagan College,07-09-2022,Admin Assistant,1," $5,054.00 ",,
Douglas College,04-03-2022,Vet Office Animal Care Certificate,0.5," $6,138.00 ",,
Vancouver Island University,06-09-2022,Bachelor of Arts,4," $28,580.00 ",,
Vancouver Island University,10-01-2022,Hospital Unit Coordinator Program,1," $5,745.00 ",,
Emily Carr University of Art & Design,06-09-2022,Bachelor of Fine Arts,4," $23,500.00 ",,
University of Victoria,01-09-2022,BSC Comupter Science,4," $27,146.00 ",,
BCIT,01-04-2022,Medical Office Assistant,1," $6,700.00 ",,
Camosun College,01-05-2022,University Transfer,2," $22,000.00 ",,
Thompson Rivers University,07-09-2022,Bachelor of Arts,4," $21,960.00 ",,
Langara College,06-09-2022,Associate of Arts in Psychology,2," $12,020.17 ",,
North Island College,01-01-2023,Electrical Foundation Certificate,1," $5,000.00 ",,
University of Northen BC,07-09-2022,Bachelor of Social Work,4," $20,310.00 ",,
Vancouver Island University,05-09-2022,Marine Motorcycle Technician,1," $6,145.00 ",,
Vancouver Island University,03-01-2022,Heavy Equipment Operator Program,1," $18,365.00 ",,
North Island College,10-01-2022,University Transfer,2," $10,500.00 ",,
Langara College,01-09-2021,Design Foundation Diploma,2," $21,109.00 ",,
Camosun College,22-01-2010,Associate of Arts Degree,2," $14,200.00 ",,
Douglas College,05-09-2022,Gen Business Cert,1," $3,005.00 ",,
Kwantlen Polytechnic University,06-09-2022,BA-Criminology,4," $33,348.00 ",,
Okanagan College,07-09-2022,Educational Assistant,1," $4,286.00 ",,
Douglas College,09-03-2022,Child & Youth care,1," $1,796.97 ",,
University of Victoria,01-09-2022,Bach child & youth care,4," $27,146.00 ",,
BCIT,01-03-2022,BC Parks Law,1," $3,175.00 ",,
University of the Fraser Valley,02-05-2022,Social Service Worker,2," $11,687.00 ",,
Vancouver Island University,07-09-2022,Dental Assistant Cert,1," $4,704.00 ",,
Northern Lights College,14-01-2022,ECEC2,2," $1,981.52 ",,
Vancouver Island University,07-09-2022,Bachelor of Education,4," $31,798.00 ",,
Okanagan College,06-09-2022,Automotive Service Tech,1," $5,070.00 ",,
BCIT,01-03-2022,Technical Writing Cert,1," $4,400.00 ",,
University of the Fraser Valley,10-01-2022,Qualifying Studies,," $8,313.00 ",,
Kwantlen Polytechnic University,16-08-2022,Carpentry/ Builiding Construction Citation,0.5," $3,797.00 ",,
Vancouver Island University,07-09-2021,Bachelor of Arts,4," $27,800.00 ",,
Vancouver Island University,01-09-2021,Bachelor of Social Work,4," $16,985.00 ",,
Vancouver Community College,01-09-2022,HCA Program,1," $3,800.00 ", Never Attended ,
Thompson Rivers University,10-01-2022,Bachelor of Computing Sceince,4," $21,352.00 ",,
Vancouver Island University,13-08-2021,Baking and Pastry Arts Management Diploma,2," $14,730.00 ",,
Vancouver Island University,01-09-2021,Bachelor of Education,4," $32,382.00 ",,
Vancouver Island University,07-09-2021,Welding,1," $8,600.00 ",,
University of Victoria,10-01-2022,BA Psychology,4," $27,146.00 ",,
Selkirk College,07-09-2021,Music and Technology,2," $10,541.17 ",,
Northern Lights College,04-01-2022,Education Assistant Cert. ,1," $6,906.90 ",,
Langara College,01-09-2022,Diploma in General Education,2," $12,016.17 ",,
Capilano University,01-09--2022,Interdisciplinary Study,4," $24,206.00 ",,
Vancouver Island University,01-05-2020,Indigenous Land Management Certificate,1,,,
Kwantlen Polytechnic University,06-09-2022,Bachelor of Arts,4," $33,348.00 ",,
Thompson Rivers University,11-07-2022,Residential Construction,1," $4,118.00 ",,
Vancouver Island University,01-09-2020,Resource Management Officer Technology Diploma,2," $20,200.00 ",,
Camosun College,05-05-2022,Associate of Arts,2," $22,000.00 ",,
Vancouver Island University,06-09-2022,Bachelor of Arts,4," $28,172.00 ",,
Vancouver Island University,07-09-2021,Dental Hygiene Diploma,2," $34,143.00 ",,
BCIT,01-04-2022,Human Resource Management ,1," $8,000.00 ",,
College of New Caledonia,06-09-2022,Social Service Worker,2," $8,600.00 ",,
University of the Fraser Valley,06-09-2022,BA Criminal Justice,4," $22,429.96 ",,
Justice Institute of British Columbia,18-07-2022,Primary Care Paramedic Program,1," $5,093.00 ",,
University of Northen BC,07-09-2022,Social Work,3," $20,772.00 ",,
Native Education College,06-09-2022,Family & Community Counselling Diploma,1," $6,595.00 ",,No time in care per mcfd/sdpr
Vancouver Island University,07-09-2022,Welding Foundation & Fitter,1," $8,620.00 ",,
Douglas College,09-05-2022,Child and Youth Care,1," $5,656.75 ",,
University of British Columbia,05-09-2021,Bachelor of Arts,4," $11,000.00 ",,
Vancouver Island University,03-09-2019,Heavy Mechanical Trades Foundation,,,,
Thompson Rivers University,05-09-2022,Bachelor of Science,4," $22,168.00 ",,
Douglas College,05-09-2022,General Studies Diploma,2," $8,882.00 ",,
Thompson Rivers University,05-09-2022,Bachelor of Arts,4," $21,960.00 ",,
Vancouver Island University,01-02-2020,Heavy Equipment Operator Certificate,," $16,820.00 ",,
Vancouver Island University,16-09-2019,Carpentry Apprentice Level 2,, $827.00 ,,
University of British Columbia,06-09-2021,Bachelor of Arts,4," $22,500.00 ",,
Vancouver Island University,01-09-2019,,, $340.00 ,,
Selkirk College,06-09-2022,Associate of Arts Diploma,2," $6,735.75 ",,
Thompson Rivers University,05-09-2022,Bachelor of Arts,4," $21,960.00 ",,
Douglas College,04-01-2022,General Studies,1," $1,796.97 ",,
Vancouver Community College,01-05-2022,Professional Cook Plus 1,1," $5,044.00 ",,
BCIT,01-10-2022,Welder Foundation Certificate,1," $5,047.00 ",,
Vancouver Community College,01-05-2022,Nail Techncian,1," $5,930.00 ",,
Vancouver Community College,01-03-2022,Hair Design,1," $8,454.00 ",,
Vancouver Island University,06-09-2022,Esthetics & Spa Therapy  Certificate,1," $14,037.00 ",,
Kwantlen Polytechnic University,06-09-2022,BA-Psychology,4," $33,348.00 ",,
BCIT,27-06-2022,Heavy Mechanical Trades Foundation,1," $6,092.00 ",,
College of the Rockies,06-09-2022,Health Care Assistant,1," $2,648.22 ",,
Camosun College,06-09-2022,Associate of Arts Degree,2," $22,000.00 ",,
Langara College,09-05-2022,Diplom General Education (Arts),2," $12,016.70 ",,
Vancouver Island University,06-09-2022,Bachelor of Science,4," $28,580.00 ",,
North Island College,10-05-2022,Marine Training,1," $1,000.00 ",,
Camosun College,06-09-2022,University Transfer,2," $13,600.00 ",,No file MCFD and SDPR
BCIT,1-05-2022,Automative Technician,1," $5,532.20 ",,
Native Education College,06-09-2022,Family & Community Counselling Diploma,2," $13,190.00 ",,
Vancouver Island University,01-08-2022,Heavy Equipment Operator Program,1," $18,616.00 ",,
Vancouver Community College,06-09-2022,Practical Nursing,2," $17,600.00 ",,Didn't meet time in care (318 days)-Appeal with Carla
Selkirk College,06-09-2022,Associate of Arts Diploma,2," $10,483.00 ",,Switched program
Vancouver Island University,11-11-2021,Electrician Program,1," $4,803.00 ",, Not yet eligible but may meet TIC later. Advised to reapply closer to 19 year of age. 
Vancouver Island University,03-09-2019,Health care Assistant,," $3,197.00 ",,
Douglas College,04-01-2022,General Studies,2," $11,308.00 ",,
Vancouver Island University,01-09-2019,Bachelor of Science,4," $25,000.00 ", Attending , We have no record of PTWP approval for this student 
Vancouver Community College,01-09--2022,General Studies,1," $9,000.00 ",, Approved when 19 
Camosun College,06-09-2022,Education Assistant & Community Support,1," $5,075.00 ",,
College of New Caledonia,09-09-2022,Practical Nurse Program,2," $13,686.00 ",,
Emily Carr University of Art & Design,07-09-2021,BFA,4," $23,500.00 ",,
Kwantlen Polytechnic University,06-09-2022,Science and Horiculture,4," $33,348.00 ",,
Vancouver Community College,,Civil Structure Architecture,,,,
Okanagan College,03-09-2019,Commercial Aviation Diploma,2,, Completed  , Completed all academics. Flight lab incomplete. No grad. 
Camosun College,04-09-2018,Medical Laboratory Assistant ,1,, Hiatus , Last attended 04/19 
Vancouver Community College,,Practical Nursing,,,,
Langara College,05-09-2017,Associate of Arts: Peace and Conflict Studies,2," $9,031.00 ", Hiatus ,
Thompson Rivers University,15-12-2020,Open Learning ,,, Hiatus ,
University of the Fraser Valley,,Welding Level C,1,, Completed  ,
Thompson Rivers University,,Undeclared,,, Hiatus ,
Justice Insitute of British Columbia,06-09-2018,Law Enforcement Studies Diploma,2," $12,000.00 ", Completed  , Graduated from LESD June 2020 
Langara College,,Associate of Science in Computer Science,,, Hiatus ,
University of Victoria,,Bachelor of Social Work,4,, Completed  ,
College of the Rockies,,Dental Assistant,,, Completed  ,
Thompson Rivers University,,Bachelor of Arts,,, Hiatus ,
College of the Rockies,,Early Childhood Education ,,, Hiatus ,
Douglas College,01-09-2019,Early Childhood Ed,2," $12,000.00 ", Hiatus ,
Justice Insitute of British Columbia,,Emergency Medical Responder & Primary Care Paramedic,1," $1,752.00 ", Attending ,
University of the Fraser Valley,,Criminal Justice Diploma,,, Completed  ,
Simon Fraser University,,Human Resources Management,,,,
Vancouver Community College,,Interior Design,,,,
Vancouver Island University,01-01-2020,Horticulture Technician Foundation,," $5,386.00 ",,
Vancouver Island University,01-02-2020,Welder Foundation,39 weeks," $6,976.00 ",,
University of Northen BC,09-04-2018,Wildlife Conservation,4," $24,565.00 ", Attending ,
Douglas College,01-09-2018,Bachelor of Arts in Child and Youth Care,4," $24,000.00 ", Hiatus ,
Northern Lights College,,Early Childhood Education,,, Hiatus , Withdrew 
Thompson Rivers University,,Early Childhood Education,,,,
Camosun College,04-09-2018,Legal Office Assistant ,1,, Hiatus , Last attended 08/19 
Douglas College,01-09-2020,Diploma in General Studies,2," $12,000.00 ", Hiatus ,
University of Victoria,,,,, Never Attended ,
Okanagan College,,Pastry Arts,,, Completed  ,
Vancouver Community College,07-09-2017,Fashion Marketing & Design,2," $22,000.00 ", Completed  ,
Douglas College,01-09-2019,Associate of Arts,2," $12,000.00 ", Hiatus ,
Vancouver Island University,01-01-2018,,,,,
College of the Rockies,01-01-2022,Social Worker Pre-Major,2,, Hiatus ,
Thompson Rivers University,,Welding,,, Completed  ,
Vancouver Island University,01-09-2018,,,,,
Camosun College,,Criminal Justice,,, Hiatus ,
Vancouver Island University,,,,,,
Camosun College,04-09-2018,"Digital Production, Writing & Design",1,, Hiatus , Last attended 12/19 
Okanagan College,,Associate of Arts,,,,
Langara College,,Associate of Arts ,,, Hiatus ,
Camosun College,04-09-2018,University Transfer,2,, Hiatus , Last attended 12/19 
Douglas College,01-09-2020,Academic Foundations,1," $6,000.00 ", Hiatus ,
Thompson Rivers University,30-04-2018,Bachelor of Social Work,4," $24,100.00 ", Attending ,
Okanagan College,,Esthetics and Nail Certificate,,, Completed  ,
Thompson Rivers University,,Undeclared,,,,
Vancouver Island University,01-09-2018,,,,,
Vancouver Community College,,Professional Cook 2,1," $2,400.00 ", Completed  ,
Thompson Rivers University,,Human Services,,,,
University of Victoria,,Bachelor of Child and Youth Care,,,,
University of Northen BC,04-09-2017,Finance,4," $23,979.00 ", Attending ,
Vancouver Island University,01-09-2018,,,,,
Capilano University,,2D Animation and Visual Arts,,, Hiatus ,
Vancouver Island University,01-09-2018,,,,,
Vancouver Community College,,ECCE,,, Never Attended ,
Camosun College,07-05-2018,University Transfer,2,, Completed  ,
Vancouver Island University,21-01-2019,,,,,
University of Victoria,01-09-2021,,,, Attending ,
Okanagan College,04-09-2015,Bachelor of Business Admin ,4," $22,460.00 ", Completed  ,
Thompson Rivers University,,Professional Cook,,,,
Emily Carr University of Art & Design,,CS Illustration certificate,,, Hiatus ,
Vancouver Island University,04-09-2018,,,,,
Thompson Rivers University,,Bachelor of Fine Arts,,,,
Thompson Rivers University,,Police and Justice Studies,,,,
Thompson Rivers University,,Bachelor of Computing Science,,,,
Vancouver Island University,01-01-2019,,,,,
Thompson Rivers University,,Bachelor of Arts,,,,
Thompson Rivers University,,Bachelor of Science in Nursing,,, Completed  ,
Vancouver Island University,01-09-2019,,,,,
University of Victoria,,Bachelor of Arts,,, Attending ,
Okanagan College,03-02-2019,,,, Never Attended ,
Nicola Valley Institute of Technology,,Environmental Resource Technology,,, Hiatus ,
University of Victoria,,Bachelor of Fine Arts,,,,
Vancouver Island University,04-09-2019,,,,,
Langara College,,CS Digital Music Production,,, Hiatus ,
Camosun College,08-09-2020,College Preparatory,Varies,, Attending  ,
Thompson Rivers University,01-01-2018,Bachelor of Arts,4," $24,100.00 ", Attending ,
University of Victoria,,Bachelor of Arts,,, Attending ,
Okanagan College,03-09-2016,Bachelor of Business Administration,4," $22,456.00 ", Attending ,
College of New Caledonia,,Social Service Worker,,, Completed  ,
Okanagan College,07-05-2018,Associate of Arts,2," $8,934.00 ", Hiatus ,
Okanagan College,,Human Service Worker,,,,
University of Victoria,,Bachelor of Science,,, Attending ,
Camosun College,,University Transfer,,, Hiatus ,
Vancouver Island University,04-01-2017,Exploratory Studies,4," $25,000.00 ", Hiatus , Est. cost assumes move to degree program; last attended Jan 2017 
Okanagan College,,Associate of Arts,,,,
North Island College, ,Health Care Assistant,,,,
University of the Fraser Valley,05-09-2018,Bachelor of Social Work,4," $23,765.00 ", Attending ,
Okanagan College,05-09-2018,Water Engineering Tech Diploma,2," $11,995.00 ", Completed  ,
Native Education College,,Health Care Assistant,,, Hiatus ,
Thompson Rivers University,,Undeclared,,,,
Vancouver Island University,01-09-2019,,,,,
Vancouver Island University,01-01-2019,,,,,
Vancouver Island University,01-01-2020,Bachelor of Education,1," $3,380.00 ",,
Thompson Rivers University,,Bachelor of Arts,,,,
Vancouver Island University,04-09-2018,,,,,
Vancouver Island University,01-05-2020,Bachelor of Business Administration,4," $26,320.00 ",,
Okanagan College,,Welder Foundation,,, Completed  ,
Capilano University,,University One for Aboriginal Learners Certificate,,,,
Vancouver Island University,01-09-2018,,,,,
Thompson Rivers University,,Health Care Assistant,,,,
BCIT,,Bachelor of Arts,,, Never Attended ,
Vancouver Island University,01-01-2019,,,,,
Kwantlen Polytechnic University,,Science & Horticulture,,, Hiatus ,
University of the Fraser Valley,,Qualifying Studies,,,,
Vancouver Island University,21-03-2022,Heavy Mechanical Trades,1, $987.00 ,,
University of the Fraser Valley,,Bookkeeping for Smal Business Certificate,,,,
Vancouver Island University,01-09-2018,,,,,
BCIT,,Arts,,, Never Attended ,
Kwantlen Polytechnic University,,Arts,,, Hiatus ,
North Island College,,University Studies,,, Attending ,
Thompson Rivers University,01-09-2018,Bachelor of Computing Science,4," $24,100.00 ", Attending ,
University of Victoria,,Bachelor of Education,,,,
Vancouver Island University,19-01-2018,Professional Cook 1 & 2,1," $5,000.00 ", Attending , Returned April 2021 to retry program; previously withdrawn from program 
Vancouver Community College,,Esthetics,1," $13,500.00 ", Completed  ,
Okanagan College,05-09-2017,Associate of Arts,2," $8,934.00 ", Completed  ,
Capilano University,07-09-2021,General Studies Fiploma,2," $13,460.02 ", Hiatus ,
Douglas College,08-09-2018,Stagecraft and Event Tech,2," $12,000.00 ", Hiatus ,
Camosun College,,Electrical Apprenticeship,0.5," $3,750.00 ",,
Langara College,05-09-2018,Diploma Arts in Science,2," $9,211.00 ", Hiatus ,
University of the Fraser Valley,01-09-2018,Social Services,," $14,272.00 ", Attending ,
Thompson Rivers University,,Bachelor of Arts,,,,
Kwantlen Polytechnic University,,Automotive Service Technician,,, Completed  ,
Thompson Rivers University,,Bachelor of Arts,,,,
Thompson Rivers University,01-01-2018,Bachelor of Social Work,4," $24,000.00 ", Hiatus ,
University of the Fraser Valley,,,,,, No record of approved TWP 
University of Victoria,,Bachelor of Fine Arts,,, Completed  ,
Capilano University,,Bachelor of Music,4," $42,852.31 ", Attending ,
University of Victoria,,Bachelor of Social Work,,, Completed  ,
Langara College,,Associate of Arts Psychology,,, Hiatus ,
Camosun College,08-01-2018,Associate of Arts Degree,2,, Completed  ,
Camosun College,07-05-2018,University Transfer,2,, Hiatus , Last attended 11-19 
Vancouver Community College,01-01-2019,Hairstylist Foundtion Certificate,1," $9,500.00 ", Hiatus , Withdrew 
Camosun College,03-09-2019,University Transfer,2,, Attending ,
Thompson Rivers University,01-01-2018,Bachelor of Natural Resource Science,4," $24,100.00 ", Attending ,
Vancouver Island University,,Bachelor of Arts in Child in Youth Care,,, Completed  ,
Justice Institute of British Columbia,28-03-2022,Primary Care Paramedic Program,1," $4,993.00 ",,
Camosun College,04-09-2018,Legal Office Assistant ,1,, Hiatus , Last attended 04/20 
Vancouver Island University,,Fundamentals of Forest Harvesting Practices,,, Completed  ,
BCIT,11-04-2022,Electrical Foundation,1," $4,333.00 ",,
Native Education College,,Early Childhood Education,,, Hiatus ,
Vancouver Island University,,Bachelor of Arts,,, Completed  ,
University of the Fraser Valley,,Welding B Certificate,,, Completed  ,
BCIT,,Arts,,, Never Attended ,
Kwantlen Polytechnic University,,Arts,,, Hiatus ,
Camosun College,06-09-2022,Community Fam and Child Sudies,2," $8,000.00 ",, Over age limit (27) 
Thompson Rivers University,,Bachelor of Science,,,,
Vancouver Island University,01-11-2022,Bachelor of Social Work,4," $15,557.00 ",,
University of Northen BC,,Occupational Health & Safety Certificate ,,, Completed  ,
Okanagan College,01-01-2020,,,,, Not currently a student; No applications on file 
Simon Fraser University,,Human Resources Management,,, Attending , SFU Continuing Studies 
Okanagan College,07-09-2022,Writing and Publishing Diploma,2," $10,032.00 ",,
Kwantlen Polytechnic University,06-09-2022,BSC-Health Sciences,4," $33,348.00 ",,
University of British Columbia,27-04-2021,Foundations in Software,1," $5,950.00 ", Completed  ,
University of the Fraser Valley,02-05-2022,Bachelor of Social Work,4," $22,430.16 ",,
Vancouver Island University,,Bachelor of Interior Design,,, Completed  ,
Vancouver Island University,,Animal Care Aide,,, Completed  ,
Okanagan College,06-09-2022,Writing & Publishing Diploma,2," $10,032.00 ",,
Okanagan College,03-01-2018,Associate of Arts,2," $8,934.00 ", Hiatus , Last attended Aug '20 
Vancouver Island University,03-09-2019,Bachelor of Arts in Criminology ,4," $25,000.00 ", Hiatus ,
Douglas College,08-09-2020,Bachelor of Arts Child and Youth Care,1," $6,000.00 ", Attending ,
College of the Rockies,,Fine Arts,1,, Hiatus ,
Nicola Valley Institute of Technology,,,,, Never Attended ,
Camosun College,06-09-2022,Associate of Arts Degree,2," $15,500.00 ",,
Thompson Rivers University,,General Studies Diploma,,,,
College of the Rockies,,Hairstylist,1,, Completed  ,
BCIT,,Business,,, Never Attended ,
Thompson Rivers University,05-09-2018,Bachelor of Social Work,4," $24,000.00 ", Attending ,
Okanagan College,08-09-2020,Associate of Arts,2," $8,934.00 ", Attending ,
College of New Caledonia,,Business Administration,,, Hiatus ,
Camosun College,04-09-2018,University Transfer,2,, Attending ,
Camosun College,05-09-2017,University Transfer,2,, Hiatus , Last attended 04/19 
Langara College,,General Education Diploma,,, Hiatus ,
North Island College,01-09-2018,Early Childhood Education,,,,
Vancouver Island University,,Adult Basic Education,,, Hiatus ,
Vancouver Island University,,,,, Never Attended , No student record at VIU 
Thompson Rivers University,,Bachelor of Fine Arts,,,,
University of Victoria,,Bachelor of Arts,4," $26,668.00 ", Attending ,
North Island College,,Practical Nursing,4,, Attending ,
Native Education College,03-09-2019,Family and Community Counselling Certificate,1," $6,551.00 ", Hiatus ,
Vancouver Island University,,Estethics,,, Completed  ,
Vancouver Island University,,Bachelor of Science in Nursing,,, Completed  ,
University of the Fraser Valley,,Qualifying Studies,,,,
Vancouver Island University,,Bachelor of Science in Nursing,,, Completed  ,
Vancouver Island University,,Welding Foundation and Fitter,,, Completed  ,
BCIT,01-05-2023,Airline and Flight Operations Commercial Pilot (Fixed-Wing) Diploma,2," $75,752.00 ",,
North Island College,,Health Care Assistant,,, Never Attended ,
Capilano University,06-09-2022,Bachelor of Design in Visual Communication,4," $52,064.00 ",,
Thompson Rivers University,04-09-2019,Bachelor of Arts, 4 ," $24,100.00 ", Attending ,
Camosun College,05-09-2017,Associate Degree Arts,2,, Hiatus , Last attended 06/19 
Vancouver Island University,24-09-2018,Workplace Essential Training,2,, Hiatus ,
Thompson Rivers University,,Undeclared,,,,
Vancouver Community College,,Office Admin,1," $6,500.00 ",,
Vancouver Community College,,Professional Cook 2 Advanced,,,,
